토큰,등장 횟수
이세돌,15
진짜,12
너무,8
정말,6
문화가,5
항상,5
감사합니다,5
사랑해,4
아이돌,4
좋은,4
버츄얼,3
스브스,3
그저,3
하고,3
와,3
자기가,3
우리,3
자랑스럽다,2
아이돌이,2
이렇게,2
메타버스,2
화이팅입니다,2
최고,2
내,2
이세돌의,2
매력은,2
오디션부터,2
나도,2
소통이,2
현실,2
버튜버가,2
사람,2
정상,2
나는,2
이런,2
누군가가,2
것을,2
좋아한다고,2
새로운,2
단순히,2
보는,2
인터넷방송을,2
자연스럽게,2
그런,2
팬,2
좋겠네요,2
자존감을,2
올리는,2
방법,2
출연자를,2
여러분의,2
좋아하는걸,2
욕하는,2
사람들이,2
많이,2
사람이,2
수,2
기자님,2
보면,2
이세계아이돌,2
이렇게나,2
참,2
튽훈이,2
처음,2
줄,2
누가,2
생각합니다,2
앞으로도,2
모두,2
이쁘게,2
봤었는데,2
뉴스,1
보면서,1
눈물,1
나오는건,1
처음입니다,1
행복하자,1
영택이형,1
이세계,1
성장해서,1
페스티벌까지,1
열게,1
되었다는,1
게,1
무엇보다도,1
신기하고,1
놀랍네요,1
캐릭터로,1
이렇게까지,1
한국에서,1
뜰,1
거라고는,1
생각,1
못,1
했는데,1
엄청난,1
성장,1
너무좋다,1
스브스까지,1
진출하다니,1
우리아이돌,1
최고다,1
폼,1
미쳤다,1
100만,1
가야겠다,1
이건,1
사장님이란,1
분이,1
인터뷰하는데,1
잘생긴,1
얼굴과,1
태평양,1
어깨만,1
믿고,1
후줄근한,1
차림으로,1
오셨네요,1
영원했으면,1
좋겠다,1
나의,1
스브스뉴스에도,1
뜨다니,1
이번,1
썸넬,1
장식은,1
르르땅이,1
했네요,1
웅장해진다,1
이제,1
월클이야,1
쭉,1
이어진,1
스토리가,1
재밌음,1
맴버들도,1
착하고,1
재밌어서,1
첨엔,1
거부감,1
들다가,1
빠져들게댐,1
악플러들도,1
이해함,1
저랬으니까,1
팬들,1
인터뷰,1
보니까,1
핵심이네,1
아이돌은,1
힘든데,1
버츄얼은,1
매일,1
방송하고,1
커뮤니티,1
피드백,1
받아주고,1
등등,1
이러면,1
팬이,1
생길수밖에없지,1
재밌고,1
일단,1
노래들이,1
다,1
고퀄임,1
노래가,1
좋으니,1
관심이,1
갈수밖에,1
싫은,1
저런,1
육수들이랑은,1
다르다며,1
우월감에,1
취한,1
찐따,1
비정상,1
자신의,1
눈에,1
익숙하지,1
않고,1
이상하다,1
생각되시면,1
생성되고,1
있구나,1
지나가시면,1
됩니다,1
단지,1
익숙지,1
않은,1
그것을,1
비난한다면,1
그것은,1
혐오에,1
불과합니다,1
생성되는,1
과도기라,1
여겨주시고,1
사랑하는,1
대상을,1
폄하하는,1
멈춰주세요,1
그리고,1
행복하시길,1
빕니다,1
이세돌분들,1
노력하고,1
성장하는,1
모습이,1
아름답습니다,1
행복하시면,1
좋겠습니다,1
솔찍히,1
입덕하기엔,1
진입장벽이,1
있긴한데,1
이걸,1
크게,1
생각해서,1
버추얼걸그룹을,1
덕질해야겠다,1
라는,1
생각으로,1
입덕하는게,1
아니라,1
반대로,1
흔히들,1
유튜브나,1
트위치같은,1
본다라고,1
생각하고,1
입덕하게되는게,1
아닐까싶음,1
보는데,1
방송인이,1
게임도하고,1
컨텐츠도,1
시참으로,1
소통도,1
커버곡도,1
내고,1
오리지널,1
앨범곡도,1
내다보니,1
멜론이나,1
유튜브로,1
스밍도,1
돌리고,1
응원도,1
하게되는,1
자연스러운,1
입덕이,1
가능하게되는거같네요,1
생소하고,1
낯설어도,1
문화의,1
다양성이,1
넓어진다는,1
면에서는,1
존중받고,1
또,1
성숙한,1
자리잡으면,1
스브스뉴스,1
쉬운,1
남의,1
결함찾기,1
어려운,1
결함,1
메꾸기,1
유명해졋다,1
악플은,1
무시가,1
답이다,1
본,1
영상에,1
출연한,1
향한,1
인신공격,1
비난,1
및,1
비방을,1
담은,1
댓글은,1
삭제할,1
예정입니다,1
보호하기,1
위한,1
최소한의,1
조치이오니,1
구독자,1
양해,1
부탁드립니다,1
스브스뉴스는,1
건강한,1
의견,1
교류를,1
권장합니다,1
준내,1
사실,1
아직도,1
그들의,1
잘,1
모르겠지만,1
자기들이,1
좋다는데,1
욕할,1
생각은,1
없음,1
안,1
많아서,1
슬플,1
따름임,1
처음엔,1
거부감이,1
들었는데,1
결국에,1
안에,1
들어있는,1
열심히,1
하는,1
모습을,1
보여주니까,1
정이,1
갈,1
밖에,1
없는듯,1
컴퓨터,1
지급받으시길,1
기원합니다,1
한,1
스트리머의,1
컨텐츠로,1
시작했지만,1
데뷔까지의,1
여정을,1
방식만,1
다르지,1
오디션,1
프로그램으로,1
결성한,1
아이돌하고,1
별,1
다를게,1
없지,1
분명한,1
한계가,1
있음에도,1
여기까지,1
와준게,1
대단하다,1
처음보는,1
팬덤이네요,1
버추얼,1
자리잡으면서,1
유명해지다니,1
킹애,1
모시깽이하네요,1
앞으로,1
활동,1
장훈이형,1
보러,1
갔다가,1
알았는데,1
관객분들,1
진짜로,1
열정적인,1
함성과,1
매력에,1
빠졌네요,1
응원합니다,1
성공,1
확률이,1
002퍼센트밖에,1
안됬었을,1
때,1
성공할,1
알았겠음,1
힘들때,1
마다,1
보며,1
힘내고,1
있을,1
만큼,1
영향력이,1
매우,1
뛰어나다,1
자랑스럽고,1
노래와,1
방송으로,1
모두를,1
기쁘게,1
해주셨으면,1
컴퓨터가,1
힘드신데도,1
인터뷰까지,1
해주셔서,1
대부분의,1
댓글,1
쓰는,1
사람들,1
구독목록,1
다른,1
버튜버들,1
있음,1
투명해,1
영원,1
하자,1
분들,1
이세페에,1
출연해주신,1
모든,1
아티스트분들도,1
이세계페스티벌이란것은,1
낯설으셨을건데,1
참가해주셔서,1
감사했습니다,1
참가하셨었던,1
아티스트팬분들도,1
저희를,1
좋게,1
봐주셨었다고,1
들어서,1
기뻤습니다,1
다른분들도,1
편견없이,1
즐길수있는,1
아이돌이니,1
봐주세요,1
자,1
수정했습니다,1
싸우지들,1
마세요,1
12년전,1
사업,1
내용에,1
너도나도,1
붙여서,1
코인,1
주식으로,1
한탕,1
해,1
먹는,1
놈들만,1
좋아하고,1
콘서트,1
할,1
정도로,1
결과물을,1
보여주는,1
건,1
거,1
같아요,1
노래도,1
되게,1
좋고,1
잘되면,1
우와,1
이세돌을,1
스브스에서,1
보다니,1
저도,1
언젠가는,1
실제,1
음악,1
방송에,1
나오길,1
기대해봅니다,1
플레이브도,1
그렇고,1
실패한,1
아이돌에게,1
버츄얼을,1
통해,1
기회가,1
주워졌다는게,1
것,1
같다,1
자랑스럽다처음보시는,1
분들은,1
이게,1
뭐야라고,1
하실,1
있지만,1
아이돌도,1
있구나라고,1
생각해,1
주시면,1
감사하겠습니다,1
화이팅,1
어디까지,1
성장하는거야,1
컴좀,1
바꿔라,1
우왁굳,1
옛날부터,1
인방판에서,1
참신하고,1
획기적인,1
아이디어로,1
컨텐츠를,1
많이해서,1
종종,1
꾸준히,1
롱런하면서,1
잘되는,1
이유가,1
있네,1
버튜버,1
그룹을,1
만들어서,1
대성할,1
알았을까,1
진심으로,1
즐기는,1
이해못하겠다고,1
무지성으로,1
까는,1
사람보다는,1
훨씬,1
정상적이라고,1
눈물나,1
팬과,1
실시간,1
소통을,1
한다는게,1
큰,1
강점이지,1
봐주셔서,1
개재밌게놀았다,1
팬은,1
아니지만,1
팬으로써,1
더이상,1
이런걸,1
보고,1
눈살을,1
찌푸리는게,1
아닌,1
함께,1
존중해주고,1
즐겨줬으면,1
좋겠어요,1
